Year,#,Category,Nominee,Additional Info,Won?,Race,Multi-Racial?,Dynamic,Stereotype,Restricted Race Role,Helps main white pratagonist in their journey or story was POV of white person,,,
2000,73rd,Actor -- Supporting Role,Benicio Del Toro,Traffic {'Javier Rodriguez'},YES,Hispanic,,No,,Yes,Yes,,,
1999,72nd,Actor -- Leading Role,Denzel Washington,The Hurricane {'Rubin 'Hurricane' Carter'},NO,Black,,,,,,,,
1999,72nd,Actor -- Supporting Role,Michael Clarke Duncan,The Green Mile {'John Coffey'},NO,Black,,,,,,,,
1998,71st,Actress -- Leading Role,Fernanda Montenegro,Central Station {'Dora'},NO,Hispanic,,,,,,,,
1996,69th,Actor -- Supporting Role,"Cuba Gooding, Jr.",Jerry Maguire {'Rod Tidwell'},YES,Black,,No,Athelete,No,Yes,,,
1996,69th,Actress -- Supporting Role,Marianne Jean-Baptiste,Secrets & Lies {'Hortense'},NO,Black,,,,,,,,
1994,67th,Actor -- Leading Role,Morgan Freeman,The Shawshank Redemption {'Red'},NO,Black,,No,Magical Negro,,,,,
1994,67th,Actor -- Supporting Role,Samuel L. Jackson,Pulp Fiction {'Jules Winnfield'},NO,Black,,No,Angry black man?,No,,,,
1994,67th,Actress -- Supporting Role,Jennifer Tilly,Bullets over Broadway {'Olive Neal'},NO,Asian,YES,,,,,,,
1993,66th,Actor -- Leading Role,Laurence Fishburne,What's Love Got to Do with It {'Ike Turner'},NO,Black,,,,,,,,
1993,66th,Actress -- Leading Role,Angela Bassett,What's Love Got to Do with It {'Tina Turner'},NO,Black,,,,,,,,
1993,66th,Actress -- Supporting Role,Rosie Perez,Fearless {'Carla Rodrigo'},NO,Hispanic,,,,,,,,
1992,65th,Actor -- Leading Role,Denzel Washington,Malcolm X {'Malcolm X'},NO,Black,,,,,,,,
1992,65th,Actor -- Supporting Role,Jaye Davidson,The Crying Game {'Dil'},NO,Black,,,,,,,,
1991,64th,Actor -- Supporting Role,Ben Kingsley,Bugsy {'Meyer Lansky'},NO,Asian,YES,,,,,,,
1991,64th,Actress -- Supporting Role,Mercedes Ruehl,The Fisher King {'Anne'},YES,Hispanic,,No,,No,Yes,,,
1990,63rd,Actor -- Supporting Role,Andy Garcia,"The Godfather, Part III {'Vincent Mancini'}",NO,Hispanic,,,,,,,,
1990,63rd,Actor -- Supporting Role,Graham Greene,Dances With Wolves {'Kicking Bird'},NO,Native American,,,,,,,,
1990,63rd,Actress -- Supporting Role,Whoopi Goldberg,Ghost {'Oda Mae Brown'},YES,Black,,Yes,Magical Negro,No,Yes,,,
1989,62nd,Actor -- Leading Role,Morgan Freeman,Driving Miss Daisy {'Hoke Colburn'},NO,Black,,,,,,,,
1989,62nd,Actor -- Supporting Role,Denzel Washington,Glory {'Trip'},YES,Black,,No,Slave,Yes,Yes,,,
1988,61st,Actor -- Leading Role,Edward James Olmos,Stand and Deliver {'Jaime Escalante'},NO,Hispanic,,,,,,,,
1987,60th,Actor -- Supporting Role,Morgan Freeman,Street Smart {'Fast Black'},NO,Black,,,,,,,,
1987,60th,Actor -- Supporting Role,Denzel Washington,Cry Freedom {'Steve Biko'},NO,Black,,,,,,,,
1987,60th,Actress -- Supporting Role,Norma Aleandro,Gaby - A True Story {'Florencia'},NO,Hispanic,,,,,,,,
1986,59th,Actor -- Leading Role,Dexter Gordon,Round Midnight {'Dale Turner'},NO,Black,,,,,,,,
1985,58th,Actress -- Leading Role,Whoopi Goldberg,The Color Purple {'Celie'},NO,Black,,,,,,,,
1985,58th,Actress -- Supporting Role,Margaret Avery,The Color Purple {'Shug Avery'},NO,Black,,,,,,,,
1985,58th,Actress -- Supporting Role,Meg Tilly,Agnes of God {'Sister Agnes'},NO,Asian,YES,,,,,,,
1985,58th,Actress -- Supporting Role,Oprah Winfrey,The Color Purple {'Sofia'},NO,Black,,,,,,,,
1984,57th,Actor -- Supporting Role,Adolph Caesar,A Soldier's Story {'Sgt. Waters'},NO,Black,,,,,,,,
1984,57th,Actor -- Supporting Role,Noriyuki 'Pat' Morita,The Karate Kid {'Miyagi'},NO,Asian,,No,Mentor,Not really,,,,
1984,57th,Actor -- Supporting Role,Haing S. Ngor,The Killing Fields {'Dith Pran'},YES,Asian,,Yes,Famous Person,Yes,Yes,Poor,,
1983,56th,Actress -- Supporting Role,Alfre Woodard,Cross Creek {'Geechee'},NO,Black,,,,,,,,
1982,55th,Actor -- Leading Role,Ben Kingsley,Gandhi {'Mahatma Gandhi'},YES,Asian,YES,Yes,Famous Person,Yes,,,,
1982,55th,Actor -- Supporting Role,"Louis Gossett, Jr.",An Officer and a Gentleman {'Sgt. Emil Foley'},YES,Black,,No,,No,Yes,,,
1981,54th,Actor -- Supporting Role,"Howard E. Rollins, Jr.","Ragtime {'Coalhouse Walker, Jr.'}",NO,Black,,,,,,,,
1994,67th,Actress -- Supporting Role,Dianne Wiest,Bullets over Broadway {'Helen Sinclair'},YES,White,,,,Yes,,,,
1993,66th,Actor -- Leading Role,Tom Hanks,Philadelphia {'Andrew Beckett'},YES,White,,,,,,,,
1993,66th,Actor -- Supporting Role,Tommy Lee Jones,The Fugitive {'Samuel Gerard'},YES,White,,,,,,,,
1993,66th,Actress -- Leading Role,Holly Hunter,The Piano {'Ada'},YES,White,,,,,,,,
1993,66th,Actress -- Supporting Role,Anna Paquin,The Piano {'Flora'},YES,White,,,,,,,,
1992,65th,Actor -- Leading Role,Al Pacino,Scent of a Woman {'Lt. Col. Frank Slade'},YES,White,,,,,,,,
1992,65th,Actor -- Supporting Role,Gene Hackman,Unforgiven {'Little Bill Daggett'},YES,White,,,,,,,,
1992,65th,Actress -- Leading Role,Emma Thompson,Howards End {'Margaret Schlegel'},YES,White,,,,,,,,
1992,65th,Actress -- Supporting Role,Marisa Tomei,My Cousin Vinny {'Mona Lisa Vito'},YES,White,,,,,,,,
1991,64th,Actor -- Leading Role,Anthony Hopkins,The Silence of the Lambs {'Dr. Hannibal Lecter'},YES,White,,,,,,,,
1991,64th,Actor -- Supporting Role,Jack Palance,City Slickers {'Curly'},YES,White,,,,,,,,
1991,64th,Actress -- Leading Role,Jodie Foster,The Silence of the Lambs {'Clarice Starling'},YES,White,,,,,,,,
1990,63rd,Actor -- Leading Role,Jeremy Irons,Reversal of Fortune {'Claus Von Bulow'},YES,White,,,,,,,,
1990,63rd,Actor -- Supporting Role,Joe Pesci,Good Fellas {'Tommy DeVito'},YES,White,,,,,,,,
1990,63rd,Actress -- Leading Role,Kathy Bates,Misery {'Annie Wilkes'},YES,White,,,,,,,,
1989,62nd,Actor -- Leading Role,Daniel Day Lewis,My Left Foot {'Christy Brown'},YES,White,,,,,,,,
1989,62nd,Actress -- Leading Role,Jessica Tandy,Driving Miss Daisy {'Daisy Werthan'},YES,White,,,,,,,,
1989,62nd,Actress -- Supporting Role,Brenda Fricker,My Left Foot {'Mrs. Brown'},YES,White,,,,,,,,
1988,61st,Actor -- Leading Role,Dustin Hoffman,Rain Man {'Raymond Babbitt'},YES,White,,,,,,,,
1988,61st,Actor -- Supporting Role,Kevin Kline,A Fish Called Wanda {'Otto'},YES,White,,Yes,,,,,,
1988,61st,Actress -- Leading Role,Jodie Foster,The Accused {'Sarah Tobias'},YES,White,,,,,,,,
1988,61st,Actress -- Supporting Role,Geena Davis,The Accidental Tourist {'Muriel'},YES,White,,,,,,,,
1987,60th,Actor -- Leading Role,Michael Douglas,Wall Street {'Gordon Gekko'},YES,White,,,,,,,,
1987,60th,Actor -- Supporting Role,Sean Connery,The Untouchables {'Jim Malone'},YES,White,,,,,,,,
1987,60th,Actress -- Leading Role,Cher,Moonstruck {'Loretta Castorini'},YES,White,,,,,,,,
1987,60th,Actress -- Supporting Role,Olympia Dukakis,Moonstruck {'Rose Castorini'},YES,White,,,,,,,,
1986,59th,Actor -- Leading Role,Paul Newman,The Color of Money {'Eddie Felson'},YES,White,,,,,,,,
1986,59th,Actor -- Supporting Role,Michael Caine,Hannah and Her Sisters {'Elliot'},YES,White,,,,,,,,
1986,59th,Actress -- Leading Role,Marlee Matlin,Children of a Lesser God {'Sarah'},YES,White,,,,,,,,
1986,59th,Actress -- Supporting Role,Dianne Wiest,Hannah and Her Sisters {'Holly'},YES,White,,,,,,,,
1985,58th,Actor -- Leading Role,William Hurt,Kiss of the Spider Woman {'Luis Molina'},YES,White,,,,,,,,
1985,58th,Actor -- Supporting Role,Don Ameche,Cocoon {'Art Selwyn'},YES,White,,,,,,,,
1985,58th,Actress -- Leading Role,Geraldine Page,The Trip to Bountiful {'Mrs. Watts'},YES,White,,,,,,,,
1985,58th,Actress -- Supporting Role,Anjelica Huston,Prizzi's Honor {'Maerose Prizzi'},YES,White,,,,,,,,
1984,57th,Actor -- Leading Role,F. Murray Abraham,Amadeus {'Antonio Salieri'},YES,White,,,,,,,,
1984,57th,Actress -- Leading Role,Sally Field,Places in the Heart {'Edna Spalding'},YES,White,,,,,,,,
1984,57th,Actress -- Supporting Role,Peggy Ashcroft,A Passage to India {'Mrs. Moore'},YES,White,,,,,,,,
1983,56th,Actor -- Leading Role,Robert Duvall,Tender Mercies {'Mac Sledge'},YES,White,,,,,,,,
1983,56th,Actor -- Supporting Role,Jack Nicholson,Terms of Endearment {'Garrett Breedlove'},YES,White,,,,,,,,
1983,56th,Actress -- Leading Role,Shirley MacLaine,Terms of Endearment {'Aurora Greenway'},YES,White,,,,,,,,
1983,56th,Actress -- Supporting Role,Linda Hunt,The Year of Living Dangerously {'Billy Kwan'},YES,White,,,,,,,,
